제작사,제원관리번호,차명,연식,제작일자,셀 간 균형,평균전압_OCV_meas,SOC_calc,사용연수(t),캘린더 열화(△Q_cal),사이클 열화(△Q_cyc),SoH_pred(%),취득원가,연간감가비,조정연간감가비,중고거래가격
기아 주식회사,A0110007300031221,EV6,2022,2021-11-08,우수,4.04,93.38570573,3.694444444,0.038441875,0.058797035,90.27610899,"₩25,400,000 ","₩4,691,944 ","₩5,197,327 ","₩20,202,673 "
기아 주식회사,A0110007300251221,EV6,2022,2021-11-19,우수,4.04,93.38570573,3.663888889,0.038282575,0.06735524,89.43621849,"₩25,400,000 ","₩4,653,139 ","₩5,202,746 ","₩20,197,254 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-04,우수,4.04,93.38570573,3.705555556,0.038499639,0.030979845,93.05205163,"₩25,400,000 ","₩4,706,056 ","₩5,057,444 ","₩20,342,556 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.04,93.38570573,3.577777778,0.037830029,0.064640263,89.75297074,"₩25,400,000 ","₩4,543,778 ","₩5,062,537 ","₩20,337,463 "
기아 주식회사,A0110007300041221,EV6,2022,2021-11-24,우수,4.04,93.38570573,3.65,0.038209946,0.111216104,85.05739501,"₩25,400,000 ","₩4,635,500 ","₩5,449,849 ","₩19,950,151 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-15,우수,4.041666667,93.4313162,3.591666667,0.037903386,0.055364935,90.67316791,"₩25,400,000 ","₩4,561,417 ","₩5,030,614 ","₩20,369,386 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-22,우수,4.0535,93.75515057,3.655555556,0.038239014,0.05151249,91.02484959,"₩25,400,000 ","₩4,642,556 ","₩5,100,317 ","₩20,299,683 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-09,우수,4.056,93.82356628,3.608333333,0.037991227,0.067047896,89.49608766,"₩25,400,000 ","₩4,582,583 ","₩5,120,429 ","₩20,279,571 "
기아 주식회사,A0110007300131221,EV6,2022,2021-11-19,우수,4.0255,92.98606286,3.663888889,0.038282575,0.047846881,91.38705438,"₩25,400,000 ","₩4,653,139 ","₩5,091,683 ","₩20,308,317 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-16,우수,4.019833333,92.82650273,3.588888889,0.037888726,0.080173996,88.1937278,"₩25,400,000 ","₩4,557,889 ","₩5,168,042 ","₩20,231,958 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.019833333,92.82650273,3.577777778,0.037830029,0.049947572,91.22223983,"₩25,400,000 ","₩4,543,778 ","₩4,980,998 ","₩20,419,002 "
기아 주식회사,A0110007300061221,EV6,2022,2021-11-22,우수,4.02,92.83119567,3.655555556,0.038239014,0.051964018,90.97969671,"₩25,400,000 ","₩4,642,556 ","₩5,102,848 ","₩20,297,152 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-01,우수,4.02,92.83119567,3.713888889,0.038542905,0.068307308,89.31497863,"₩25,400,000 ","₩4,716,639 ","₩5,280,905 ","₩20,119,095 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-02,우수,4.02,92.83119567,3.711111111,0.038528489,0.08235264,87.9118871,"₩25,400,000 ","₩4,713,111 ","₩5,361,176 ","₩20,038,824 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-14,우수,4.02,92.83119567,3.594444444,0.03791804,0.048725222,91.33567381,"₩25,400,000 ","₩4,564,944 ","₩4,997,986 ","₩20,402,014 "
기아 주식회사,A0110007300031221,EV6,2022,2021-11-01,우수,4.02,92.83119567,3.713888889,0.038542905,0.115023973,84.6433122,"₩25,400,000 ","₩4,716,639 ","₩5,572,370 ","₩19,827,630 "
기아 주식회사,A0110007300061221,EV6,2022,2021-10-29,우수,4.02,92.83119567,3.719444444,0.038571723,0.112970936,84.84573419,"₩25,400,000 ","₩4,723,694 ","₩5,567,392 ","₩19,832,608 "
기아 주식회사,A0110007300051221,EV6,2022,2021-11-17,우수,4.02,92.83119567,3.669444444,0.038311588,0.108881768,85.28066435,"₩25,400,000 ","₩4,660,194 ","₩5,464,538 ","₩19,935,462 "
기아 주식회사,A0110007300031221,EV6,2022,2021-12-20,우수,4.02,92.83119567,3.577777778,0.037830029,0.060743607,90.14263641,"₩25,400,000 ","₩4,543,778 ","₩5,040,653 ","₩20,359,347 "
